ID,pred
6811,1
4320,1
5732,1
7429,1
2191,1
8618,1
3311,1
7221,1
3291,1
9115,1
9396,1
663,1
6124,1
536,1
7082,1
7699,1
8651,1
8475,1
890,1
6596,1
3501,1
7751,1
10896,1
6343,1
3456,1
9417,1
9086,1
2043,1
1940,1
1347,1
6754,1
427,1
9503,1
9594,1
1385,1
9641,1
1818,1
7656,1
2805,1
6288,1
9003,1
4759,1
9576,1
6448,1
5603,1
891,1
5741,1
9305,1
1785,1
9603,1
5443,1
5328,1
3765,1
5627,1
2939,1
2029,1
5868,1
7647,1
8513,1
7865,1
8186,1
10050,1
4693,1
4560,1
7775,1
9504,1
10480,1
2480,1
1918,1
10685,1
9406,1
7419,1
10895,1
9455,1
2969,1
6935,1
8427,1
8985,1
4318,1
515,1
4553,1
4935,1
1161,1
10574,1
1757,1
671,1
6335,1
10290,1
491,1
9866,1
2672,1
823,1
9469,1
4672,1
5762,1
2472,1
4522,1
10447,1
8239,1
5119,1
8126,1
6760,1
7311,1
4407,1
3295,1
1066,1
6055,1
5978,1
1346,1
1762,1
3967,1
4587,1
8148,1
3657,1
1516,1
4397,1
4564,1
727,1
5180,1
4233,1
6924,1
8725,1
7969,1
3607,1
393,1
9330,1
8392,1
4051,1
10077,1
4482,1
4443,1
7554,1
7048,1
7551,1
5320,1
3581,1
2341,1
3653,1
2279,1
2877,1
10310,1
5088,1
10434,1
5643,1
9754,1
6638,1
1838,1
9138,1
10556,1
7133,1
6033,1
7506,1
6840,1
399,1
7741,1
1492,1
559,1
7076,1
873,1
7500,1
7108,1
8387,1
3051,1
5525,1
9615,1
2503,1
8495,1
7574,1
2772,1
8405,1
6217,1
2920,1
417,1
8251,1
2462,1
10438,1
8474,1
3324,1
4428,1
7211,1
681,1
9870,1
9541,1
10184,1
8064,1
10615,1
98,1
4567,1
4380,1
4892,1
506,1
9436,1
9965,1
479,1
2222,1
516,1
6959,1
3225,1
2315,1
6376,1
8840,1
7546,1
3476,1
4623,1
3001,1
566,1
7872,1
8108,1
8173,1
8343,1
2457,1
6826,1
3656,1
7689,1
6074,1
3076,1
5678,1
1493,1
10109,1
2389,1
5282,1
10142,1
6361,1
9889,1
1353,1
857,1
2167,1
73,1
408,1
3971,1
9334,1
3315,1
6964,1
2737,1
907,1
8762,1
10591,1
1994,1
6120,1
2179,1
7971,1
4706,1
9034,1
7651,1
2542,1
1666,1
4833,1
6049,1
8650,1
2899,1
5644,1
8178,1
8197,1
8668,1
1182,1
5138,1
8579,1
8761,1
5005,1
5655,1
7226,1
2660,1
3811,1
5408,1
8466,1
8519,1
5152,1
7680,1
7669,1
4555,1
10263,1
2651,1
8131,1
9661,1
331,1
7368,1
3144,1
2484,1
3630,1
4956,1
5675,1
7019,1
250,1
861,1
4176,1
9029,1
10708,1
2477,1
10842,1
6325,1
647,1
8515,1
2150,1
3415,1
9488,1
8357,1
4140,1
2948,1
8379,1
4348,1
215,1
4122,1
3538,1
2717,1
2182,1
1734,1
10533,1
7328,1
6888,1
8596,1
4461,1
2922,1
2593,1
