ID,price
0,4599.3
2,64303.72
14,17227.63
15,14293.37
18,16635.97
20,27653.3
23,22898.2
27,20122.22
29,18666.59
30,30080.19
31,35833.63
41,31527.95
42,31513.68
49,3837.14
51,15023.47
52,7061.6
53,15342.26
56,6024.16
59,13899.1
61,6457.64
69,24540.88
71,7119.92
73,42207.76
76,5447.64
77,17986.37
80,51961.04
84,17900.08
88,19055.95
95,18358.65
96,37659.26
105,29586.25
109,20670.11
113,39154.89
114,22241.26
124,21119.05
127,19785.31
131,20487.31
132,16507.22
143,17443.58
144,21108.3
148,16496.38
149,28800.12
152,16389.06
155,27192.27
156,24275.62
160,39096.51
163,15104.32
164,20388.91
168,17174.5
172,15971.49
173,27318.09
174,9596.17
176,21115.9
178,13375.06
180,29110.43
182,31324.98
183,32820.19
184,28034.99
189,25473.27
193,19817.41
198,30872.39
199,21620.65
204,16867.59
208,20621.81
213,19916.77
235,27585.29
241,15329.2
243,16041.62
245,19841.82
247,17511.01
257,26545.46
258,50886.0
261,23212.54
264,21860.19
265,21296.47
266,22850.53
269,13010.05
271,28704.38
277,21735.58
281,27608.48
284,31982.09
294,23009.66
295,44545.78
310,22256.24
312,19822.4
315,19975.97
317,18353.06
319,15527.23
327,36799.68666666667
328,18087.47
336,27063.5
339,32682.01
350,18302.62
355,25063.9
356,14426.92
360,23413.59
369,18432.19
371,20398.32
373,23989.78
375,24959.63
379,57602.54
380,31249.07
381,28463.53
390,54824.22
400,29095.68
402,22755.62
409,31358.85
424,15019.23
425,14979.84
426,20896.87
429,21755.6
431,32140.67
439,14450.94
441,29962.14
449,13214.94
455,17937.43
461,20719.46
463,16873.64
467,19748.88
472,30502.32
474,21296.85
483,15934.06
488,23853.91
489,24408.58
491,13940.24
493,20087.02
497,25239.07
499,29374.12
504,15359.69
505,15902.68
511,17013.42
514,16896.4
515,23215.34
519,13473.81
521,17631.66
523,10312.67
528,15995.18
531,11910.74
532,22703.62
540,24451.31
542,24815.33
549,28102.63
562,21523.36
578,18665.58
581,17684.45
583,21559.59
585,20180.88
590,30756.36
591,30429.08
601,22006.51
603,26020.87
609,22341.57
614,49383.9
621,34663.72
624,30673.95259740259
631,20673.6
633,34543.29
640,39565.23
641,35447.28
648,11918.3
653,15282.26
656,22427.61
658,21329.14
668,19167.78
670,19565.58
677,16799.52
681,16915.44
688,26459.95
690,35632.97
692,39380.15
696,25772.29
699,29344.92
707,19941.83
708,22086.52
715,30487.19
720,27696.82
721,17660.89
722,20036.02
723,14134.61
731,16803.1
732,12781.49
737,14704.85
738,20386.5
740,29435.29
742,23023.52
